                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.5393,                 6.9473,                 3.9395,                      0,                      0,                      0,                      0,                 5.8639,                 4.5617,                 3.7964,               0.070213,              0.0033097,              0.0033097
                      1,                 2.9291,                 2.5151,                  2.266,                0.50534,                0.42552,                 0.4236,                0.14619,                 2.2841,                 3.9789,                 2.0973,               0.040191,              0.0066211,              0.0066211
                      2,                  2.305,                 1.7718,                 1.5979,                0.52323,                0.47332,                0.43413,                0.11631,                 2.5961,                 4.4587,                 2.2054,               0.010147,              0.0099105,              0.0099105
                      3,                 2.0885,                 1.4412,                 1.4097,                0.85311,                0.77973,                0.88891,                0.41122,                 1.8207,                 1.9665,                  1.647,               0.009901,               0.009901,               0.009901
                      4,                 1.8895,                 1.0931,                 1.2801,                0.92231,                0.91946,                0.96248,                  0.483,                  1.632,                 1.1472,                 1.4457,               0.009901,               0.009901,               0.009901
                      5,                 1.7803,                0.94011,                 1.2308,                0.93038,                0.87435,                0.92786,                0.46672,                 1.6976,                0.87617,                 1.4772,               0.009868,               0.009868,               0.009868
                      6,                 1.7422,                 0.8765,                 1.1952,                0.95441,                0.93676,                0.96997,                0.50774,                 1.6141,                 0.8217,                 1.4081,               0.009835,               0.009835,               0.009835
                      7,                 1.6787,                0.83903,                 1.1802,                0.95963,                0.98107,                 0.9803,                0.51276,                 1.5698,                0.78911,                 1.3889,               0.009802,               0.009802,               0.009802
                      8,                 1.6315,                0.79837,                 1.1521,                0.97034,                0.95009,                0.97876,                0.52495,                 1.5968,                 0.6962,                 1.3927,               0.009769,               0.009769,               0.009769
                      9,                 1.5935,                0.77653,                 1.1453,                 0.9723,                0.96558,                0.98056,                 0.5223,                 1.5675,                 0.7068,                 1.3792,               0.009736,               0.009736,               0.009736
                     10,                 1.5701,                0.74781,                 1.1319,                0.98121,                0.97935,                0.98515,                0.52605,                 1.5521,                0.66991,                 1.3856,               0.009703,               0.009703,               0.009703
                     11,                 1.5513,                 0.7227,                 1.1111,                0.97514,                0.96902,                0.98523,                0.52287,                 1.6308,                0.68027,                 1.4077,                0.00967,                0.00967,                0.00967
                     12,                 1.5167,                0.71099,                 1.1197,                0.97915,                0.98451,                0.99326,                0.54196,                 1.5274,                0.62972,                 1.3562,               0.009637,               0.009637,               0.009637
                     13,                 1.5001,                0.69249,                 1.1087,                0.97773,                0.97762,                0.98963,                0.53363,                 1.5594,                0.63732,                 1.3663,               0.009604,               0.009604,               0.009604
                     14,                 1.4996,                0.68467,                 1.1026,                 0.9879,                0.98333,                0.98829,                0.52724,                 1.5474,                0.60953,                 1.3638,               0.009571,               0.009571,               0.009571
                     15,                 1.5111,                0.68659,                 1.1064,                0.98357,                0.98451,                0.99079,                0.53699,                 1.5503,                 0.6245,                 1.3597,               0.009538,               0.009538,               0.009538
                     16,                 1.4736,                0.67164,                 1.1065,                0.96711,                0.96386,                0.97917,                0.52629,                 1.5798,                 0.6444,                 1.3823,               0.009505,               0.009505,               0.009505
                     17,                 1.4478,                0.65225,                  1.082,                0.99305,                0.98434,                0.99386,                0.53347,                 1.5544,                0.60904,                 1.3598,               0.009472,               0.009472,               0.009472
                     18,                   1.44,                0.64673,                 1.0807,                0.98791,                0.98409,                0.99379,                0.54544,                 1.5572,                0.58604,                  1.372,               0.009439,               0.009439,               0.009439
                     19,                 1.4472,                0.65145,                  1.087,                0.98339,                0.98451,                0.99362,                0.55265,                 1.5374,                 0.6118,                 1.3476,               0.009406,               0.009406,               0.009406
                     20,                  1.435,                0.63077,                 1.0774,                0.99144,                0.99635,                0.99407,                0.56881,                 1.4938,                0.55728,                 1.3268,               0.009373,               0.009373,               0.009373
