                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2025,                0.50467,                 1.0064,                0.96044,                  0.869,                0.92073,                0.49087,                  1.653,                 0.6199,                 1.0534,               0.070204,              0.0033107,              0.0033107
                      1,                 1.2084,                0.51136,                 1.0031,                0.97118,                0.86596,                0.91788,                0.48763,                 1.6725,                0.64156,                 1.0654,               0.040073,              0.0065124,              0.0065124
                      2,                 1.2121,                0.51578,                  1.015,                0.94199,                0.86567,                0.91077,                0.45162,                 1.7694,                0.66702,                 1.0788,               0.009809,              0.0095822,              0.0095822
                      3,                 1.2548,                0.53829,                 1.0177,                 0.9575,                 0.8492,                0.90409,                0.44735,                 1.8087,                0.68971,                    1.1,               0.009406,               0.009406,               0.009406
                      4,                 1.2735,                 0.5488,                 1.0344,                0.95619,                0.84387,                0.89467,                0.46144,                 1.7859,                0.65621,                 1.1017,               0.009406,               0.009406,               0.009406
                      5,                 1.2773,                0.54869,                 1.0294,                0.93198,                0.84311,                0.88043,                0.43854,                 1.7895,                0.67522,                 1.1424,               0.009208,               0.009208,               0.009208
                      6,                 1.2677,                 0.5493,                  1.038,                0.97335,                0.84463,                0.90202,                0.43922,                 1.8439,                0.68641,                 1.1119,                0.00901,                0.00901,                0.00901
                      7,                 1.2596,                0.54603,                 1.0257,                0.94377,                0.88207,                0.92889,                 0.4779,                  1.705,                0.67443,                 1.0578,               0.008812,               0.008812,               0.008812
                      8,                 1.2575,                0.54412,                 1.0311,                0.95201,                0.86111,                0.92367,                 0.4746,                 1.7226,                0.66904,                 1.0676,               0.008614,               0.008614,               0.008614
                      9,                 1.2551,                0.53764,                 1.0317,                0.95836,                0.85894,                0.91524,                0.47771,                 1.6883,                0.65362,                 1.0665,               0.008416,               0.008416,               0.008416
                     10,                 1.2777,                 0.5512,                 1.0341,                0.95135,                0.87129,                0.91332,                0.46739,                 1.6737,                0.65214,                  1.053,               0.008218,               0.008218,               0.008218
                     11,                  1.267,                0.54701,                 1.0288,                0.94858,                0.86215,                0.93003,                  0.482,                 1.6606,                0.65261,                 1.0493,                0.00802,                0.00802,                0.00802
                     12,                 1.2515,                0.53715,                  1.024,                0.95513,                0.87552,                0.92429,                0.46348,                 1.7345,                0.65745,                 1.0749,               0.007822,               0.007822,               0.007822
                     13,                 1.2521,                 0.5405,                 1.0202,                0.95394,                0.88336,                0.93562,                0.48602,                 1.6484,                0.65084,                 1.0395,               0.007624,               0.007624,               0.007624
                     14,                 1.2561,                0.53805,                 1.0344,                0.95431,                0.85986,                0.91734,                0.46174,                 1.7355,                0.65775,                 1.0647,               0.007426,               0.007426,               0.007426
                     15,                  1.235,                0.53836,                 1.0212,                0.96156,                0.85726,                 0.9148,                0.46858,                 1.7308,                0.64968,                 1.0825,               0.007228,               0.007228,               0.007228
                     16,                 1.2459,                0.53578,                 1.0222,                0.96615,                0.85453,                0.90886,                0.45509,                 1.8053,                0.67221,                 1.1077,                0.00703,                0.00703,                0.00703
                     17,                 1.2517,                0.53056,                 1.0176,                0.97351,                0.86215,                0.91708,                  0.474,                 1.7286,                0.65889,                 1.0745,               0.006832,               0.006832,               0.006832
                     18,                 1.2432,                0.52589,                 1.0173,                0.96083,                0.86215,                0.91001,                0.47682,                 1.7016,                 0.6418,                 1.0863,               0.006634,               0.006634,               0.006634
                     19,                 1.2415,                0.53189,                 1.0224,                0.95928,                0.86116,                0.92073,                0.45986,                  1.764,                0.66062,                 1.0893,               0.006436,               0.006436,               0.006436
                     20,                 1.2362,                0.53292,                 1.0182,                  0.951,                0.87738,                0.92658,                0.48066,                 1.6428,                0.64676,                 1.0379,               0.006238,               0.006238,               0.006238
                     21,                 1.2269,                0.51869,                 1.0203,                0.95576,                0.83924,                0.89871,                 0.4634,                 1.7598,                0.63979,                 1.1085,                0.00604,                0.00604,                0.00604
                     22,                 1.2237,                0.51925,                 1.0116,                0.95493,                0.88754,                0.93678,                0.48874,                 1.6383,                0.63494,                 1.0423,               0.005842,               0.005842,               0.005842
                     23,                 1.2395,                0.52801,                  1.017,                0.97143,                0.85529,                 0.9194,                 0.4869,                 1.7118,                0.63486,                  1.066,               0.005644,               0.005644,               0.005644
                     24,                 1.2074,                 0.5175,                 1.0165,                0.96988,                0.88423,                0.93602,                0.49381,                 1.6452,                0.62026,                  1.045,               0.005446,               0.005446,               0.005446
                     25,                 1.2214,                0.51547,                 1.0127,                 0.9662,                0.84463,                0.90424,                0.47008,                 1.8054,                  0.643,                 1.1412,               0.005248,               0.005248,               0.005248
                     26,                 1.2201,                0.51601,                 1.0163,                0.95422,                0.86596,                0.91166,                0.46311,                 1.7602,                0.64994,                 1.0862,                0.00505,                0.00505,                0.00505
                     27,                 1.2167,                 0.5137,                 1.0159,                0.96049,                0.87011,                0.91761,                0.48159,                 1.7062,                0.63059,                 1.0816,               0.004852,               0.004852,               0.004852
                     28,                 1.2203,                 0.5076,                 1.0103,                0.95514,                0.86443,                0.91833,                0.47562,                 1.7137,                0.64138,                 1.0934,               0.004654,               0.004654,               0.004654
                     29,                 1.2317,                0.51284,                 1.0142,                0.95618,                0.85682,                0.90237,                0.46346,                 1.7609,                0.64209,                 1.0979,               0.004456,               0.004456,               0.004456
                     30,                 1.2228,                0.51271,                 1.0151,                0.96087,                0.88728,                0.93438,                0.48778,                 1.6532,                0.62577,                 1.0474,               0.004258,               0.004258,               0.004258
                     31,                 1.2259,                0.51217,                 1.0093,                0.95868,                0.85758,                0.90387,                  0.461,                  1.777,                0.64679,                 1.1264,                0.00406,                0.00406,                0.00406
                     32,                 1.2202,                0.50848,                 1.0154,                0.96417,                0.85758,                0.91384,                0.48737,                 1.6779,                0.61978,                 1.0699,               0.003862,               0.003862,               0.003862
                     33,                 1.2231,                0.50537,                 1.0056,                0.95928,                0.86596,                0.91791,                 0.4825,                 1.6735,                 0.6313,                  1.062,               0.003664,               0.003664,               0.003664
                     34,                 1.2101,                0.50258,                 1.0171,                0.95451,                0.86443,                0.90906,                 0.4814,                 1.7225,                0.63177,                 1.0855,               0.003466,               0.003466,               0.003466
                     35,                 1.1943,                0.49973,                  1.004,                0.95565,                0.85758,                0.90487,                0.47118,                 1.7523,                0.64216,                  1.101,               0.003268,               0.003268,               0.003268
                     36,                 1.2073,                0.49916,                 1.0142,                0.96221,                0.87269,                0.91702,                0.48413,                 1.7145,                0.63521,                 1.0716,                0.00307,                0.00307,                0.00307
                     37,                 1.2053,                0.50278,                 1.0084,                0.96084,                0.86824,                0.91838,                0.48589,                  1.707,                0.62703,                 1.0797,               0.002872,               0.002872,               0.002872
                     38,                 1.1868,                0.48767,                 1.0095,                0.96227,                 0.8591,                0.91279,                0.48023,                 1.7369,                0.62937,                 1.0897,               0.002674,               0.002674,               0.002674
                     39,                 1.1913,                0.49128,                 1.0122,                0.96832,                0.86443,                0.92608,                0.50029,                 1.6277,                0.61081,                 1.0555,               0.002476,               0.002476,               0.002476
                     40,                 1.1872,                0.47979,                 1.0406,                0.95816,                0.87205,                0.91943,                0.49258,                 1.6464,                0.60974,                 1.0681,               0.002278,               0.002278,               0.002278
                     41,                 1.1973,                0.47933,                  1.046,                0.94331,                0.87452,                0.92107,                0.48986,                 1.6712,                0.62248,                 1.0666,                0.00208,                0.00208,                0.00208
                     42,                 1.1859,                0.47377,                 1.0463,                0.96584,                0.86443,                0.91694,                0.48551,                 1.7219,                0.62302,                 1.0884,               0.001882,               0.001882,               0.001882
                     43,                 1.1844,                0.47131,                 1.0457,                0.96528,                  0.869,                0.91921,                0.48673,                 1.7305,                0.62583,                  1.077,               0.001684,               0.001684,               0.001684
                     44,                  1.177,                0.46396,                 1.0407,                0.96649,                0.85682,                0.91105,                0.47922,                 1.7673,                0.63821,                 1.1146,               0.001486,               0.001486,               0.001486
                     45,                 1.1707,                0.46399,                 1.0329,                   0.96,                0.88043,                0.92651,                0.49093,                 1.6762,                0.61128,                 1.0612,               0.001288,               0.001288,               0.001288
                     46,                 1.1709,                0.46102,                 1.0274,                0.96073,                0.87053,                0.92081,                0.48796,                 1.6894,                0.62104,                 1.0791,                0.00109,                0.00109,                0.00109
                     47,                 1.1707,                0.46155,                 1.0268,                0.96374,                0.86672,                0.91566,                0.48749,                 1.7277,                0.62022,                 1.0969,               0.000892,               0.000892,               0.000892
                     48,                 1.1576,                0.45209,                 1.0335,                0.95618,                0.88077,                0.92691,                0.49532,                 1.6772,                 0.6216,                 1.0612,               0.000694,               0.000694,               0.000694
                     49,                 1.1577,                0.45624,                 1.0301,                 0.9615,                0.87281,                0.92226,                 0.4948,                 1.6768,                0.61487,                 1.0666,               0.000496,               0.000496,               0.000496
